table,field_key,source_column_or_value
AcceInline,ID,id
AcceInline,NAME,Name
AcceInline,PRODUCT,Product
AcceInline,REVISION,Revision
AcceInline,EDELFLEX,Codigo Edelflex
AcceInline,STATUS,Estado_TC
AcceInline,FIXED_GROUP_ITEM,${team-center.querys.item-groups.acce-inline}
AcceInline,FIXED_UOM,UN
AcceInline,PROVEEDOR,Codigo Proveedor
AcceInline,MARCA,Item_Marca
AcceInline,TIPO,Item_Tipo
AcceInline,MODELO,
AcceInline,EQUIPO,Item_Equipo
AcceInline,VARIABLE,
AcceInline,TAMANIO,
AcceInline,MODELO_BASTIDOR,
AcceInline,CORRUGACION,
AcceInline,MATERIAL_JUNTAS,
AcceInline,MATERIAL_PLACAS,
AcceInline,CANTIDAD_SECCIONES,
AcceInline,DIAMETRO,Item_Diametro
AcceInline,ACTUACION,
AcceInline,FAMILIA,
AcceInline,DIAMETRO_SUPERIOR,
AcceInline,DIAMETRO_INFERIOR,
AcceInline,CUERPO,
AcceInline,CONEXIONES,
AcceInline,IMPORTADO,Es importado
AcceInline,FABRICADO,Es fabricado
BomDesPos,ID,id
BomDesPos,NAME,Name
BomDesPos,PRODUCT,Product
BomDesPos,REVISION,Revision
BomDesPos,EDELFLEX,Codigo Edelflex
BomDesPos,STATUS,Estado_TC
BomDesPos,FIXED_GROUP_ITEM,${team-center.querys.item-groups.bom-des-pos}
BomDesPos,FIXED_UOM,UN
BomDesPos,PROVEEDOR,Codigo Proveedor
BomDesPos,MARCA,Item_Marca
BomDesPos,TIPO,
BomDesPos,MODELO,Item_Modelo
BomDesPos,EQUIPO,
BomDesPos,VARIABLE,
BomDesPos,TAMANIO,
BomDesPos,MODELO_BASTIDOR,
BomDesPos,CORRUGACION,
BomDesPos,MATERIAL_JUNTAS,
BomDesPos,MATERIAL_PLACAS,
BomDesPos,CANTIDAD_SECCIONES,
BomDesPos,DIAMETRO,
BomDesPos,ACTUACION,
BomDesPos,FAMILIA,
BomDesPos,DIAMETRO_SUPERIOR,
BomDesPos,DIAMETRO_INFERIOR,
BomDesPos,CUERPO,
BomDesPos,CONEXIONES,
BomDesPos,IMPORTADO,Es importado
BomDesPos,FABRICADO,Es fabricado
BombaCen,ID,id
BombaCen,NAME,Name
BombaCen,PRODUCT,Product
BombaCen,REVISION,Revision
BombaCen,EDELFLEX,Codigo Edelflex
BombaCen,STATUS,Estado_TC
BombaCen,FIXED_GROUP_ITEM,${team-center.querys.item-groups.bomba-cen}
BombaCen,FIXED_UOM,UN
BombaCen,PROVEEDOR,Codigo Proveedor
BombaCen,MARCA,Item_Marca
BombaCen,TIPO,
BombaCen,MODELO,Item_Modelo
