table,group_item_expr,uom_expr,source_columns_count,mapped_columns
AcceInline,${team-center.querys.item-groups.acce-inline},UN,15,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.acce-inline}; FIXED_UOM=UN; PROVEEDOR=Codigo Proveedor; MARCA=Item_Marca; TIPO=Item_Tipo; EQUIPO=Item_Equipo; DIAMETRO=Item_Diametro; IMPORTADO=Es importado; FABRICADO=Es fabricado
BomDesPos,${team-center.querys.item-groups.bom-des-pos},UN,13,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.bom-des-pos}; FIXED_UOM=UN; PROVEEDOR=Codigo Proveedor; MARCA=Item_Marca; MODELO=Item_Modelo; IMPORTADO=Es importado; FABRICADO=Es fabricado
BombaCen,${team-center.querys.item-groups.bomba-cen},UN,13,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.bomba-cen}; FIXED_UOM=UN; PROVEEDOR=Codigo Proveedor; MARCA=Item_Marca; MODELO=Item_Modelo; IMPORTADO=Es importado; FABRICADO=Es fabricado
DispLimpi,${team-center.querys.item-groups.disp-limpi},UN,14,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.disp-limpi}; FIXED_UOM=UN; PROVEEDOR=Codigo Proveedor; MARCA=Item_Marca; TIPO=Item_Tipo; MODELO=Item_Modelo; IMPORTADO=Es importado; FABRICADO=Es fabricado
ENA,${team-center.querys.item-groups.ena},UN,11,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.ena}; FIXED_UOM=UN; PROVEEDOR=Item_Codigo Proveedor; IMPORTADO=Es importado; FABRICADO=Es fabricado
Homogen,${team-center.querys.item-groups.homogen},UN,14,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=efx4_CodEdelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.homogen}; FIXED_UOM=UN; PROVEEDOR=Item_Codigo Proveedor; MARCA=Item_Marca; TIPO=Item_Tipo; MODELO=Item_Codigo Proveedor; IMPORTADO=Es importado; FABRICADO=Es fabricado
InstrInd,${team-center.querys.item-groups.instr-ind},,14,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.instr-ind}; PROVEEDOR=Codigo Proveedor; MARCA=Item_Marca; TIPO=Item_Tipo; MODELO=Item_Modelo; VARIABLE=Item_Variable; IMPORTADO=Es importado; FABRICADO=Es fabricado
Instrumen,${team-center.querys.item-groups.instrumen},UN,15,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.instrumen}; FIXED_UOM=UN; PROVEEDOR=Codigo; MARCA=Item_Marca; TIPO=Item_Tipo; MODELO=Item_Modelo; VARIABLE=Item_Variable; IMPORTADO=Es importado; FABRICADO=Es fabricado
Inter_Calor,,UN,18,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=Codigo Edelflex; STATUS=Estado_TC; CLAUSE_GROUP_ITEM=(CASE WHEN Item_Marca like '%KELVION%' THEN ${team-center.querys.item-groups.inter-calor-kvn} ELSE ${team-center.querys.item-groups.inter-calor-arax} END); FIXED_UOM=UN; PROVEEDOR=Codigo Proveedor; MARCA=Item_Marca; TAMANIO=Item_Tamano; MODELO_BASTIDOR=Modelo Bastidor; CORRUGACION=Corrugacion; MATERIAL_PLACAS=Material Placas; MATERIAL_JUNTAS=Material juntas; CANTIDAD_SECCIONES=Cantidad Secciones; IMPORTADO=Es importado; FABRICADO=Es fabricado
MatPri,${team-center.querys.item-groups.mat-pri},,9,ID=id; NAME=Name; PRODUCT=Product; REVISION=Revision; EDELFLEX=efx4_CodEdelflex; STATUS=Estado_TC; FIXED_GROUP_ITEM=${team-center.querys.item-groups.mat-pri}; IMPORTADO=Es importado; FABRICADO=Es fabricado
